timestamp,pm25,pm10,city,lat,lon,type
2026-02-02 12:00:00,23.039432006999238,34.55914801049886,Colaba,18.9067,72.8147,Forecast
2026-02-02 13:00:00,12.022719812212989,18.034079718319482,Colaba,18.9067,72.8147,Forecast
2026-02-02 14:00:00,15.09943718218733,22.649155773280995,Colaba,18.9067,72.8147,Forecast
2026-02-02 15:00:00,21.171287476944073,31.75693121541611,Colaba,18.9067,72.8147,Forecast
2026-02-02 16:00:00,11.572333870768643,17.358500806152964,Colaba,18.9067,72.8147,Forecast
2026-02-02 17:00:00,26.090132894872433,39.13519934230865,Colaba,18.9067,72.8147,Forecast
2026-02-02 18:00:00,22.38187981139403,33.57281971709104,Colaba,18.9067,72.8147,Forecast
2026-02-02 19:00:00,20.306833379034593,30.46025006855189,Colaba,18.9067,72.8147,Forecast
2026-02-02 20:00:00,19.77390170914667,29.660852563720006,Colaba,18.9067,72.8147,Forecast
2026-02-02 21:00:00,14.860612628459362,22.290918942689043,Colaba,18.9067,72.8147,Forecast
2026-02-02 22:00:00,11.962709580566807,17.94406437085021,Colaba,18.9067,72.8147,Forecast
2026-02-02 23:00:00,10.196623026632555,15.294934539948832,Colaba,18.9067,72.8147,Forecast
